type;id;active;name;category;price_tex;id_tax_rules_group;wholesale_price;on_sale;reduction_price;reduction_percent;reduction_from;reduction_to;reference;supplier_reference;supplier;manufacturer;ean13;upc;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;description_short;description;tags;meta_title;meta_keywords;meta_description;link_rewrite;available_now;available_later;available_for_order;available_date;date_add;show_price;image;image_alt;delete_existing_images;features;online_only;condition;customizable;uploadable_files;text_fields;out_of_stock;is_virtual;file_url;nb_downloadable;date_expiration;product_url;categories_url
import_type;id_product;product_reference;group;attribute;supplier_reference;reference;ean13;upc;wholesale_price;price;ecotax;quantity;minimal_quantity;low_stock_threshold;low_stock_alert;weight;default_on;available_date;image_position;image_url;image_alt;shop;advanced_stock_management
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Áo sơmi ngắn tay vạt lệch;Áo sơ mi;355000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/02f4e5fd7e84140774e9cfaa9a4f1d6683489427.jpg;Áo sơmi ngắn tay vạt lệch;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15067/s/Ao-somi-nu-vat-lech-B119H-ASA1751/category/117/#92=263;https://20again.vn/ao/ao-so-mi.html
COMBINATION;;Size:select:1;Size:12;2/S;2/S;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;4/M;4/M;;;;355000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;6/L;6/L;;;;355000;;;;;;;;;;;;;;
PRODUCT;;1;Quần jeans skinny rạch gấu;Quần jeans;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/9c4aaed3a6f887ccd8f2887561862b5c16b2e973.jpg;Quần jeans skinny rạch gấu;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/15315/s/Quan-jeans-S219N-QSA058/category/127/#92=306;https://20again.vn/quan/quan-jeans.html
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
COMBINATION;;Size:select:1;Size:12;;;;;;385000;;;;;;;;;;;;;;
PRODUCT;;1;Quần skinny jeans basic;Quần jeans;385000;1;;0;;;;;;;;20again;;;;;;;;100;1;;;;;;;;;;;;In Stock;;1;;;1;images/twentyAgain/full/d3e62a8e5794de888c6ec93a13b3f3ffb8addda7.jpg;Quần skinny jeans basic;0;;0;new;0;0;0;0;0;0;0;0;https://20again.vn/catalog/product/view/id/14935/s/Quan-skinny-S219N-QSA055/category/127/#92=291;https://20again.vn/quan/quan-jeans.html
